OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSPOS,ADDRESSSTR,LATITUDE,LONGITUDE
11363,455,FERNVALE WOODS,790455,SENGKANG WEST AVENUE,1.3918364664594682,103.87118969061308
11364,308,MULTI STOREY CAR PARK,540308,ANCHORVALE ROAD,1.3895578090736984,103.8864263266777
11365,23,TEBAN VISTA,600023,TEBAN GARDENS ROAD,1.3228570690156811,103.7392384035123
11366,47,HDB-JURONG EAST,600047,TEBAN GARDENS ROAD,1.3201262553335573,103.73988959451194
11367,43,HDB-JURONG EAST,600043,TEBAN GARDENS ROAD,1.321101897037556,103.74167370007717
11368,30,HDB-JURONG EAST,600030,TEBAN GARDENS ROAD,1.320817369694522,103.73907561788144
11369,34,HDB-JURONG EAST,600034,TEBAN GARDENS ROAD,1.3198789717599027,103.74175369344157
11370,53,HDB-JURONG EAST,600053,TEBAN GARDENS ROAD,1.3213763252399333,103.73757608707251
11371,41,HDB-JURONG EAST,600041,TEBAN GARDENS ROAD,1.3215867133507855,103.7409865904945
11372,36,HDB-JURONG EAST,600036,TEBAN GARDENS ROAD,1.3199738450542267,103.74273886396655
11373,20,TEBAN VISTA,600020,TEBAN GARDENS ROAD,1.3237828915810244,103.73851805767715
11374,183,BOON LAY GROVE,640183,BOON LAY AVENUE,1.3492631237460375,103.70935614094428
11375,11A,TIONG BAHRU VIEW,161011,BOON TIONG ROAD,1.2863651154964186,103.82878953947504
11376,49,BLANGAH COURT,100049,TELOK BLANGAH DRIVE,1.272201150180922,103.81106050760344
11377,64,BLANGAH VIEW,100064,TELOK BLANGAH DRIVE,1.2745057287423485,103.81053517311643
11378,53,BLANGAH VIEW,100053,TELOK BLANGAH DRIVE,1.2742973889763296,103.81143111682354
11379,65,BLANGAH VIEW,100065,TELOK BLANGAH DRIVE,1.274061645687375,103.81042375138526
11380,52,BLANGAH VIEW,100052,TELOK BLANGAH DRIVE,1.2738492818092033,103.81124672758442
11381,77,HDB-BUKIT MERAH,100077,TELOK BLANGAH DRIVE,1.2739471187629514,103.80876959108491
11382,429B,BEDOK NORTH WOODS,462429,BEDOK NORTH ROAD,1.3301724935955028,103.93256121592556
11383,289C,COMPASSVALE CAPE,543289,COMPASSVALE CRESCENT,1.3975467450072454,103.89680886525102
11384,286,COMPASSVALE CAPE,540286,COMPASSVALE CRESCENT,1.39769393076901,103.89631940173224
11385,426,HDB-WOODLANDS,730426,WOODLANDS STREET 41,1.4271127408019177,103.77328285652662
11386,412,HDB-WOODLANDS,730412,WOODLANDS STREET 41,1.428139439667847,103.7728215574313
11387,437,HDB-WOODLANDS,730437,WOODLANDS STREET 41,1.4269815949682068,103.77469241319389
11388,408,HDB-WOODLANDS,730408,WOODLANDS STREET 41,1.4288518588262924,103.77236885674104
11389,421,HDB-WOODLANDS,730421,WOODLANDS STREET 41,1.4277736291546543,103.77462141964385
11390,427,HDB-WOODLANDS,730427,WOODLANDS STREET 41,1.4272944074482021,103.7724943106275
11391,425,HDB-WOODLANDS,730425,WOODLANDS STREET 41,1.427112519766488,103.77399591147639
11392,668A,MULTI STOREY CAR PARK,681668,CHOA CHU KANG CRESCENT,1.401569181199052,103.7502164603815
